$ICAO,$Registration,$Operator,$Type,$ICAO Type,#CMPG,$Tag 1,$#Tag 2,$#Tag 3,Category,$#Link,#ImageLink,#ImageLink2,#ImageLink3,#ImageLink4
5080DC,UR-FSD,Fly Sky,Ilyushin IL-76TD,IL76,Civ,Asks No Questions,Arms Embargo,Fell Of The Back Of An Illyushin,Da Comrade,https://tinyurl.com/yt8u994n
5083A1,UR-FSE,Fly Sky,Ilyushin IL-76TD,IL76,Civ,Asks No Questions,Arms Embargo,Fell Of The Back Of An Illyushin,Da Comrade,https://tinyurl.com/yt8u994n
5080B3,UR-ZYD,Maximus Air Cargo,Antonov An-124 100,A124,Civ,Absolute Unit,Asks No Questions,Weapons,Da Comrade,https://en.wikipedia.org/wiki/Antonov_An-124_Ruslan
5080DB,UR-BXQ,Maximus Air Cargo,Ilyushin IL-76TD,IL76,Civ,Asks No Questions,Arms Embargo,Fell Of The Back Of An Illyushin,Da Comrade,https://tinyurl.com/yt8u994n
508445,UR-CTJ,Meridian,Antonov An-12 BK,AN12,Civ,Ere Me Now,Vashe Zdorovye,Cargo,Da Comrade,https://youtu.be/BDn2iGWE4Ec?t=18
50815D,UR-CAJ,Meridian,Antonov An-12 BK,AN12,Civ,Ere Me Now,Vashe Zdorovye,Cargo,Da Comrade,https://youtu.be/BDn2iGWE4Ec?t=18
50807B,UR-11316,Motor Sich Aviakompania,Antonov An-12 BK,AN12,Civ,Ere Me Now,Vashe Zdorovye,Cargo,Da Comrade,https://youtu.be/BDn2iGWE4Ec?t=18
5080AB,UR-11819,Motor Sich Aviakompania,Antonov An-12 BP,AN12,Civ,Ere Me Now,Vashe Zdorovye,Cargo,Da Comrade,https://youtu.be/BDn2iGWE4Ec?t=18
508341,UR-CNT,Ukraine Air Alliance,Antonov An-12 BK,AN12,Civ,Ere Me Now,Vashe Zdorovye,Cargo,Da Comrade,https://youtu.be/BDn2iGWE4Ec?t=18
50815B,UR-CAH,Ukraine Air Alliance,Antonov An-12 BK,AN12,Civ,Ere Me Now,Vashe Zdorovye,Cargo,Da Comrade,https://youtu.be/BDn2iGWE4Ec?t=18
50855E,UR-CAK,Ukraine Air Alliance,Antonov An-12 BP,AN12,Civ,Ere Me Now,Vashe Zdorovye,Cargo,Da Comrade,https://youtu.be/BDn2iGWE4Ec?t=18
508191,UR-CGV,Ukraine Air Alliance,Antonov An-12 BP,AN12,Civ,Ere Me Now,Vashe Zdorovye,Cargo,Da Comrade,https://youtu.be/BDn2iGWE4Ec?t=18
508190,UR-CGW,Ukraine Air Alliance,Antonov An-12 BP,AN12,Civ,Ere Me Now,Vashe Zdorovye,Cargo,Da Comrade,https://youtu.be/BDn2iGWE4Ec?t=18
5080BB,UR-CZZ,Ukraine Air Alliance,Antonov An-12 TB,AN12,Civ,Ere Me Now,Vashe Zdorovye,Cargo,Da Comrade,https://youtu.be/BDn2iGWE4Ec?t=18
5083C0,UR-CQV,Vulkan Air,Antonov An-26 B,AN26,Civ,Got It Where It Counts,Vashe Zdorovye,Curl,Da Comrade,https://vulkanair.com
5083A3,UR-CQE,Vulkan Air,Antonov An-26 B,AN26,Civ,Got It Where It Counts,Vashe Zdorovye,Curl,Da Comrade,https://en.wikipedia.org/wiki/Antonov_An-26
5083A2,UR-CQD,Vulkan Air,Antonov An-26 B,AN26,Civ,Got It Where It Counts,Vashe Zdorovye,Curl,Da Comrade,https://vulkanair.com
508367,UR-CIB,ZetAvia,Ilyushin IL-76TD,IL76,Civ,Asks No Questions,Arms Embargo,Fell Of The Back Of An Illyushin,Da Comrade,https://tinyurl.com/yt8u994n
508270,UR-CIG,ZetAvia,Ilyushin IL-76TD,IL76,Civ,Asks No Questions,Arms Embargo,Fell Of The Back Of An Illyushin,Da Comrade,https://tinyurl.com/yt8u994n
508473,UR-CTU,ZetAvia,Ilyushin IL-76TD,IL76,Civ,Asks No Questions,Arms Embargo,Fell Of The Back Of An Illyushin,Da Comrade,https://tinyurl.com/yt8u994n
50844D,UR-CTO,ZetAvia,Ilyushin IL-76TD,IL76,Civ,Asks No Questions,Arms Embargo,Fell Of The Back Of An Illyushin,Da Comrade,https://tinyurl.com/yt8u994n
508056,UR-74026,Motor Sich Aviakompania,Antonov An-74TK-200,AN72,Civ,Odd,Chonky Boy,Cheburashka,Distinctive,https://en.wikipedia.org/wiki/Antonov_An-74
50FF39,78820,Ukraine Air Force,Ilyushin IL-76MD,IL76,Civ,Cargo,Chonky Boy,Tail Gunner,Da Comrade,https://en.wikipedia.org/wiki/Ukrainian_Air_Force
50815F,UR-ABA,Ukraine Government,Airbus ACJ319-115X,A319,Gov,Slava Ukraine,No Retreat No Surrender,Volodymyr Zelenskyy,Governments,https://w.wiki/4t2Z
